,pc1,target,phase_label
0,-54.05161706695631,73.573,1
1,153.06361261031566,63.801,1
2,153.8362712000313,61.158,1
3,149.57009264647533,59.721,1
4,139.2839673144263,40.513,1
5,99.99261233850372,45.022,1
6,-59.4365840011908,77.391,1
7,14.363096052003021,78.078,1
8,-139.45456198201438,93.864,1
9,-21.219880710674204,90.195,1
10,82.23951199782992,54.078,1
11,37.53676994036915,50.89,1
12,-128.01158456450264,99.225,1
13,52.95185713711461,32.104,1
14,-115.37236313485556,98.371,1
15,199.84694766838751,51.992,1
16,-101.18812688859617,126.017,1
17,-56.285348374131324,74.252,1
18,-251.22296047627333,89.714,1
19,-156.44260811181258,84.951,1
0,-8.09578137054039,83.43,2
1,216.5617172637295,63.898,2
2,164.35220791757254,57.754,2
3,28.850069533184673,100.249,2
4,-374.7873275590031,125.43,2
5,-49.37101551385345,47.004,2
6,-263.09140917795474,99.994,2
7,15.60245650817803,71.359,2
8,261.9645598187718,44.356,2
9,-403.7650159757098,142.547,2
10,30.318551511710044,112.219,2
11,-290.56593238805044,142.156,2
12,219.45586970531565,86.35,2
13,16.949458022708132,73.461,2
14,87.11997757035044,75.825,2
15,65.83804911069375,135.773,2
16,32.80163148721933,54.183,2
17,419.4768290200098,19.912,2
18,46.866052305618076,122.767,2
19,-216.48094569043442,89.451,2
