,pc1
0,4.938751333751531
1,4.91153146630315
2,-3.0308701635742783
3,1.2692747887096432
4,-1.5333048975485988
5,1.457526239746949
6,-3.9065849142323854
7,-3.0559653669266047
8,5.548346270102192
9,2.891368394142344
10,-0.5185591823204325
11,-2.6446569572490044
12,-3.513175503184201
13,1.426028124805891
14,3.8098612213841125
15,2.2465179586070962
16,4.928100064388307
17,-6.270432307523257
18,-1.6056602497572965
19,-7.348158183117592
20,8.434474131231374
21,2.473315748320631
22,2.3352556356797645
23,3.342581849743532
24,-1.1104255914073355
25,4.407161359621934
26,12.568886588666809
27,6.291618403424391
28,0.8591449186159577
29,2.6572796477518588
30,-8.647741931716658
31,0.8858137037714234
32,1.5094708525110687
33,0.18642933667754802
34,-11.645364559074388
35,-0.4067109438015634
36,-10.160918938877241
37,-1.102614570495774
38,-6.901649794875516
39,-5.976205680255276
